source_month,case_number,nickname,visa_type,visa_entry,consulate,major,status,check_date,complete_date,waiting_days_reported,waiting_days_calc,observed_days,event
2025-12,844874,Felix,F1,Renewal,GuangZhou,CS,Pending,2025-12-12,0000-00-00,105,,105,0
2025-12,844977,PBS,F1,Renewal,BeiJing,Chemistry,Clear,2025-12-12,2026-03-09,87,87,,1
2025-12,845080,慢死了,F1,Renewal,WuHan,Network,Clear,2025-12-12,2026-03-24,102,102,,1
2025-12,845165,bz,F1,Renewal,BeiJing,BioStat,Clear,2025-12-12,2026-03-26,104,104,,1
2025-12,844112,鸡神救我下,F1,Renewal,BeiJing,Geoscience,Pending,2025-12-15,0000-00-00,102,,102,0
2025-12,844399,不想说了,F1,Renewal,GuangZhou,Immunology,Pending,2025-12-15,0000-00-00,102,,102,0
2025-12,844425,西瓜太郎,F1,Renewal,BeiJing,EE,Clear,2025-12-15,2026-03-03,78,78,,1
2025-12,844431,aaaa,F1,Renewal,GuangZhou,ECE,Clear,2025-12-15,2026-03-04,79,79,,1
2025-12,844722,tzhu59,F1,Renewal,BeiJing,ECE,Pending,2025-12-15,0000-00-00,102,,102,0
2025-12,844844,HurryPeng,F1,Renewal,BeiJing,CS,Clear,2025-12-15,2026-03-17,92,92,,1
2025-12,845022,jasonyux,F1,Renewal,GuangZhou,Computer Science,Clear,2025-12-15,2026-03-12,87,87,,1
2025-12,844026,feifeifeng,F1,Renewal,BeiJing,Materials Science,Clear,2025-12-16,2026-02-26,72,72,,1
2025-12,844049,接好运！,F1,Renewal,Others,History (WUHAN),Pending,2025-12-16,0000-00-00,101,,101,0
2025-12,844125,快点儿吧,F1,Renewal,BeiJing,Music Performance,Clear,2025-12-16,2025-12-30,14,14,,1
2025-12,844323,保佑我快过,F1,Renewal,BeiJing,CS PHD,Pending,2025-12-16,0000-00-00,101,,101,0
2025-12,844473,放我回去上,F1,Renewal,BeiJing,Information Networking,Pending,2025-12-16,0000-00-00,101,,101,0
2025-12,844514,美国再次伟,F1,New,BeiJing,DS,Pending,2025-12-16,0000-00-00,101,,101,0
2025-12,844548,可儿,F1,New,ShenYang,System Engineering,Pending,2025-12-16,0000-00-00,101,,101,0
2025-12,844886,parakeet,F1,Renewal,GuangZhou,CS,Clear,2025-12-16,2026-03-04,78,78,,1
2025-12,845076,Lodosek,F1,Renewal,Europe,MSIST,Pending,2025-12-16,0000-00-00,101,,101,0
2025-12,844059,过过过,F1,Renewal,BeiJing,Biomedical Sciences,Pending,2025-12-18,0000-00-00,99,,99,0
2025-12,844065,er1c,F1,Renewal,GuangZhou,CS,Pending,2025-12-18,0000-00-00,99,,99,0
2025-12,844234,hi,F1,Renewal,BeiJing,Data Science,Clear,2025-12-18,2026-01-07,20,20,,1
2025-12,844311,球球快下签,F1,Renewal,GuangZhou,BioE,Clear,2025-12-18,2026-03-06,78,78,,1
2025-12,844342,快下签吧,F1,New,BeiJing,Quant Psychology,Pending,2025-12-18,0000-00-00,99,,99,0
2025-12,844479,whereismyf1,F1,Renewal,GuangZhou,Social Science/Statistics,Clear,2025-12-18,2026-03-25,97,97,,1
2025-12,844792,dddddd,F1,Renewal,WuHan,CS,Clear,2025-12-18,2026-03-25,97,97,,1
2025-12,844297,qq下签,F1,Renewal,BeiJing,Data Science,Pending,2025-12-19,0000-00-00,98,,98,0
2025-12,844383,下签三巨头,F1,Renewal,GuangZhou,Info Science/HCI,Clear,2025-12-19,2026-03-13,84,84,,1
2025-12,844644,ball_ball,F1,Renewal,ShangHai,Genetics,Pending,2025-12-19,0000-00-00,98,,98,0
2025-12,844433,YXH1165,F1,Renewal,ShenYang,Data,Clear,2025-12-22,2026-03-26,94,94,,1
2025-12,844639,Asdlkj,F1,Renewal,BeiJing,CS,Clear,2025-12-22,2026-03-03,71,71,,1
2025-12,844674,jqin020,F1,Renewal,ShenYang,ECE,Clear,2025-12-22,2026-03-06,74,74,,1
2025-12,844160,Laoji,F1,Renewal,BeiJing,Bioengineering,Clear,2025-12-23,2026-03-09,76,76,,1
2025-12,844276,eggtart,F1,Renewal,BeiJing,Epidemiology,Clear,2025-12-23,2026-01-13,21,21,,1
2025-12,844361,hyzjhyzj,F1,Renewal,Others,Physics PhD,Pending,2025-12-23,0000-00-00,94,,94,0
2025-12,844469,Daomeicuide,F1,Renewal,GuangZhou,Biostatistics,Clear,2025-12-23,2026-03-05,72,72,,1
2025-12,844870,xiaoyezuo,F1,Renewal,ShenYang,N/A,Pending,2025-12-23,0000-00-00,94,,94,0
2025-12,844995,XW,F1,Renewal,GuangZhou,CE,Pending,2025-12-23,0000-00-00,94,,94,0
2025-12,844998,F1check,F1,Renewal,GuangZhou,Physics,Clear,2025-12-23,2026-03-10,77,77,,1
2025-12,844228,求求下签三,F1,Renewal,Others,Physics,Pending,2025-12-29,0000-00-00,88,,88,0
2025-12,844233,急急国王,F1,Renewal,BeiJing,Master of Information Sys,Clear,2025-12-29,2026-01-02,4,4,,1
2025-12,844358,isitworking?,F1,Renewal,BeiJing,Computer Engineering,Pending,2025-12-29,0000-00-00,88,,88,0
2025-12,844638,赶着回去找,F1,Renewal,GuangZhou,CS,Pending,2025-12-29,0000-00-00,88,,88,0
2025-12,844646,下签吧求求,F1,Renewal,Others,CS,Pending,2025-12-29,0000-00-00,88,,88,0
2025-12,845094,等签证等得,F1,Renewal,BeiJing,ECE,Pending,2025-12-29,0000-00-00,88,,88,0
2025-12,844605,12345670706,F1,New,BeiJing,High School,Pending,2025-12-30,0000-00-00,87,,87,0
2025-12,844260,Juneyao,F1,Renewal,BeiJing,CS,Clear,2025-12-30,2026-03-19,79,79,,1
2025-12,844591,Best of Luck,F1,Renewal,BeiJing,Chemical Engineering,Clear,2025-12-30,2026-03-06,66,66,,1
2025-12,844642,Jackcarzy,F1,New,Others,Chemistry,Clear,2025-12-30,2026-03-24,84,84,,1
2025-12,844916,wakeup_030526,F1,Renewal,ShenYang,ECE,Clear,2025-12-30,2026-03-06,66,66,,1
2025-12,844203,北京面签,F1,Renewal,BeiJing,Neuroscience (initial OPT,Clear,2025-12-31,2026-01-05,5,5,,1
2025-12,844895,lmgb,F1,Renewal,BeiJing,CS,Clear,2025-12-31,2026-03-17,76,76,,1
2025-11,843798,ocean,F1,New,BeiJing,ME,Clear,2025-11-03,2026-02-23,112,112,,1
2025-11,843808,chenk,F1,Renewal,BeiJing,Computer Science,Pending,2025-11-03,0000-00-00,144,,144,0
2025-11,843885,PASS,F1,Renewal,BeiJing,CS,Clear,2025-11-03,2026-02-23,112,112,,1
2025-11,843984,approvee,F1,New,ShangHai,CS,Pending,2025-11-03,0000-00-00,144,,144,0
2025-11,844142,qiuhaoyun,F1,Renewal,BeiJing,computer science,Pending,2025-11-03,0000-00-00,144,,144,0
2025-11,844363,球球,F1,New,BeiJing,biology,Clear,2025-11-03,2026-02-24,113,113,,1
2025-11,844391,球球了,F1,Renewal,GuangZhou,CS,Clear,2025-11-03,2026-03-19,136,136,,1
2025-11,843896,幺幺哒,F1,New,BeiJing,ECE,Pending,2025-11-04,0000-00-00,143,,143,0
2025-11,843757,mmmmm,F1,Renewal,BeiJing,ECE,Clear,2025-11-05,2026-03-04,119,119,,1
2025-11,843773,jx,F1,Renewal,ShangHai,Industrial Engineering,Clear,2025-11-05,2026-03-05,120,120,,1
2025-11,843897,求下签求求,F1,New,Others,ME,Clear,2025-11-05,2026-02-20,107,107,,1
2025-11,844068,什么时候轮,F1,New,Others,ME,Pending,2025-11-06,0000-00-00,141,,141,0
2025-11,844096,ccycc,F1,Renewal,GuangZhou,ECE,Clear,2025-11-06,2026-02-25,111,111,,1
2025-11,844104,JJJJJJJJJ,F1,Renewal,GuangZhou,Optics,Clear,2025-11-06,2026-02-23,109,109,,1
2025-11,844200,无敌大胖虎,F1,New,GuangZhou,CS,Clear,2025-11-06,2026-02-27,113,113,,1
2025-11,844793,开学前下签,F1,New,GuangZhou,BIO,Pending,2025-11-06,0000-00-00,141,,141,0
2025-11,843804,0.0,F1,Renewal,BeiJing,Mathematics-Computer Scie,Clear,2025-11-07,2025-11-14,7,7,,1
2025-11,843827,帕拉迪岛人,F1,New,BeiJing,Computer Science,Clear,2025-11-07,2026-03-02,115,115,,1
2025-11,844289,djyyy,F1,New,GuangZhou,ece,Pending,2025-11-07,0000-00-00,140,,140,0
2025-11,844095,啊wc美国人�,F1,New,GuangZhou,Mech. Engineering Ph.D.,Clear,2025-11-07,2026-03-18,131,131,,1
2025-11,844818,Tylerz,F1,New,BeiJing,MSE,Clear,2025-11-07,2026-02-26,111,111,,1
2025-11,843936,签证在手,F1,New,BeiJing,EE,Clear,2025-11-10,2026-03-06,116,116,,1
2025-11,844073,hhhhhh,F1,New,BeiJing,CS,Clear,2025-11-10,2026-03-02,112,112,,1
2025-11,844240,求你下签,F1,New,BeiJing,cs,Pending,2025-11-10,0000-00-00,137,,137,0
2025-11,844341,uuu,F1,Renewal,BeiJing,CS PhD,Clear,2025-11-17,2026-03-02,105,105,,1
2025-11,844729,下签下签,F1,Renewal,ShangHai,stem-bio,Clear,2025-11-17,2026-02-26,101,101,,1
2025-11,844953,身经百战，,F1,Renewal,BeiJing,Computational Math,Clear,2025-11-17,2026-03-02,105,105,,1
2025-11,843882,Ethan,F1,New,GuangZhou,Biomedical engineering,Clear,2025-11-18,2026-02-25,99,99,,1
2025-11,844417,Glory,F1,Renewal,GuangZhou,Computer Science,Clear,2025-11-18,2026-02-25,99,99,,1
2025-11,844325,加速加速,F1,New,GuangZhou,STEM,Clear,2025-11-19,2026-01-12,54,54,,1
2025-11,843846,AA00F3143H,F1,Renewal,BeiJing,ECE,Pending,2025-11-20,0000-00-00,127,,127,0
2025-11,844268,uupuna,F1,Renewal,BeiJing,Computer Science,Clear,2025-11-20,2026-03-02,102,102,,1
2025-11,844340,YMCA快快出�,F1,Renewal,GuangZhou,Robotics,Clear,2025-11-20,2026-03-02,102,102,,1
2025-11,844856,obj_barrier,F1,Renewal,BeiJing,CS,Clear,2025-11-20,2026-03-03,103,103,,1
2025-11,843857,chanceus,F1,Renewal,GuangZhou,Computer Science,Clear,2025-11-21,2026-02-24,95,95,,1
2025-11,844150,WISHPASS626,F1,Renewal,ShangHai,DBA,Clear,2025-11-21,2026-01-05,45,45,,1
2025-11,844151,WISHPASS626,F1,Renewal,ShangHai,DBA,Pending,2025-11-21,0000-00-00,126,,126,0
2025-11,844207,visa plz :aughh,F1,Renewal,GuangZhou,ECE(STEM OPT),Clear,2025-11-21,2026-03-02,101,101,,1
2025-11,844273,赶紧出签,F1,Renewal,ShangHai,CS,Clear,2025-11-21,2026-03-05,104,104,,1
2025-11,844532,攒攒好运,F1,Renewal,GuangZhou,CS PhD,Clear,2025-11-21,2026-02-20,91,91,,1
2025-11,844989,yy353,F1,Renewal,ShangHai,ECE,Clear,2025-11-21,2026-03-10,109,109,,1
2025-11,843881,求求快下签,F1,Renewal,ShangHai,Software engineering,Pending,2025-11-24,0000-00-00,123,,123,0
2025-11,844375,yeye,F1,New,Others,Mechanics,Pending,2025-11-24,0000-00-00,123,,123,0
2025-11,844770,刘贝贝,F1,Renewal,ShenYang,Mechanical Engineering,Clear,2025-11-24,2026-02-23,91,91,,1
2025-11,843938,xhmaczj,F1,Renewal,BeiJing,Computer Science (PhD),Clear,2025-11-25,2026-03-02,97,97,,1
2025-11,844005,jj痒,F1,Renewal,BeiJing,Biochem,Pending,2025-11-25,0000-00-00,122,,122,0
2025-11,844307,Visaplz,F1,New,BeiJing,Biochemistry,Clear,2025-11-25,2026-03-02,97,97,,1
2025-11,844127,付不起房租,F1,Renewal,ShangHai,Electricl Engineering,Pending,2025-11-26,0000-00-00,121,,121,0
2025-11,844247,plzzz,F1,Renewal,BeiJing,CS(OPT),Pending,2025-11-26,0000-00-00,121,,121,0
2025-11,844643,Useiki,F1,Renewal,ShangHai,MAE,Clear,2025-11-26,2026-03-08,102,102,,1
2025-11,844877,gaia,F1,Renewal,ShenYang,Computer Engineering,Clear,2025-11-26,2026-03-03,97,97,,1
2025-10,844163,求顺利出签,F1,New,BeiJing,N/A,Clear,2025-10-07,2025-10-07,0,0,,1
2025-10,844285,求出签,F1,Renewal,GuangZhou,ME,Pending,2025-10-08,0000-00-00,170,,170,0
2025-10,843676,求求下签,F1,New,BeiJing,ECE PhD,Clear,2025-10-10,2025-12-19,70,70,,1
2025-10,844060,你是最棒的,F1,Renewal,ShangHai,Biomedical Data Science,Clear,2025-10-10,2025-12-18,69,69,,1
2025-10,843662,求求了,F1,New,GuangZhou,CS,Pending,2025-10-14,0000-00-00,164,,164,0
2025-10,843695,跪求5年,F1,New,GuangZhou,ECE PhD,Clear,2025-10-16,2026-02-20,127,127,,1
2025-10,843687,快快快,F1,New,BeiJing,Computer Science,Clear,2025-10-17,2025-10-17,0,0,,1
2025-10,843726,sp123456,F1,New,GuangZhou,Engineering,Clear,2025-10-17,2025-10-31,14,14,,1
2025-10,843974,phyzch,F1,Renewal,ShangHai,Physics,Clear,2025-10-17,2026-01-06,81,81,,1
2025-10,844641,YYH,F1,Renewal,ShangHai,Astrophysics,Pending,2025-10-17,0000-00-00,161,,161,0
2025-10,843819,马上下签,F1,New,BeiJing,information systems,Clear,2025-10-20,2026-03-04,135,135,,1
2025-10,844183,chemistry,F1,Renewal,BeiJing,chemistry,Clear,2025-10-20,2026-01-16,88,88,,1
2025-10,844271,快过啊,F1,Renewal,ShenYang,ECE PhD,Pending,2025-10-20,0000-00-00,158,,158,0
2025-10,843740,Lucky,F1,New,Vancouver,Stats,Clear,2025-10-21,2025-10-23,2,2,,1
2025-10,843694,求过,F1,Renewal,ShangHai,EECS,Reject,2025-10-22,2025-10-22,0,0,,1
2025-10,843709,过过过,F1,Renewal,BeiJing,Data Science,Clear,2025-10-22,2026-03-02,131,131,,1
2025-10,843943,求过5年光�,F1,Renewal,BeiJing,Electric and Computer Eng,Pending,2025-10-22,0000-00-00,156,,156,0
2025-10,843957,114514,F1,New,BeiJing,CS,Pending,2025-10-24,0000-00-00,154,,154,0
2025-10,844038,求求赶紧下,F1,New,BeiJing,CS,Pending,2025-10-24,0000-00-00,154,,154,0
2025-10,844041,猫猫求下签,F1,New,BeiJing,CS,Clear,2025-10-24,2026-03-11,138,138,,1
2025-10,844051,水到渠成,F1,Renewal,ShenYang,Physics,Clear,2025-10-24,2026-01-12,80,80,,1
2025-10,844291,过！,F1,New,BeiJing,MS ECE,Clear,2025-10-24,2026-01-14,82,82,,1
